Fecha,KIT JUEGO TANQUE 1000 L,KIT JUEGO TANQUE 2000 L,KIT JUEGO TANQUE 250 L,KIT JUEGO TANQUE 500 L
2019-01-08,29.0,0.0,0.0,1.0
2019-01-09,27.0,18.0,4.0,14.0
2019-01-10,0.0,7.0,0.0,0.0
2019-01-11,10.0,0.0,25.0,8.0
2019-01-14,15.0,1.0,0.0,9.0
2019-01-15,10.0,24.0,0.0,22.0
2019-01-16,40.0,24.0,0.0,15.0
2019-01-17,8.0,32.0,0.0,3.0
2019-01-18,151.0,9.0,5.0,131.0
2019-01-21,41.0,50.0,0.0,16.0
2019-01-22,21.0,28.0,6.0,83.0
2019-01-23,55.0,23.0,17.0,75.0
2019-01-24,23.0,21.0,5.0,23.0
2019-01-25,3.0,1.0,0.0,0.0
2019-01-28,100.0,14.0,1.0,5.0
2019-01-29,0.0,14.0,0.0,0.0
2019-01-30,77.0,22.0,0.0,71.0
2019-01-31,14.0,0.0,6.0,34.0
2019-02-01,23.0,3.0,0.0,13.0
2019-02-04,82.0,13.0,0.0,24.0
2019-02-05,13.0,0.0,13.0,13.0
2019-02-06,51.0,6.0,0.0,19.0
2019-02-07,17.0,1.0,14.0,29.0
2019-02-08,20.0,18.0,14.0,14.0
2019-02-11,3.0,3.0,0.0,0.0
2019-02-12,21.0,3.0,21.0,24.0
2019-02-13,21.0,17.0,13.0,24.0
2019-02-14,27.0,4.0,14.0,43.0
2019-02-15,35.0,18.0,13.0,20.0
2019-02-18,24.0,42.0,4.0,11.0
2019-02-19,13.0,6.0,0.0,27.0
2019-02-20,1.0,1.0,5.0,4.0
2019-02-21,50.0,18.0,11.0,80.0
2019-02-22,29.0,0.0,29.0,42.0
2019-02-25,44.0,0.0,0.0,24.0
2019-02-26,88.0,6.0,5.0,31.0
2019-02-27,30.0,4.0,11.0,27.0
2019-02-28,45.0,8.0,24.0,21.0
2019-03-01,3.0,0.0,0.0,4.0
2019-03-04,8.0,0.0,0.0,21.0
2019-03-05,13.0,3.0,11.0,15.0
2019-03-06,74.0,5.0,0.0,24.0
2019-03-07,21.0,12.0,4.0,16.0
2019-03-08,16.0,3.0,0.0,14.0
2019-03-11,13.0,10.0,9.0,31.0
2019-03-12,26.0,9.0,1.0,8.0
2019-03-13,14.0,3.0,0.0,5.0
2019-03-14,11.0,9.0,0.0,19.0
2019-03-15,38.0,0.0,38.0,38.0
2019-03-18,26.0,25.0,0.0,18.0
2019-03-19,22.0,19.0,13.0,68.0
2019-03-20,9.0,4.0,5.0,8.0
2019-03-21,5.0,14.0,6.0,8.0
2019-03-22,73.0,0.0,0.0,63.0
2019-03-26,28.0,26.0,9.0,8.0
2019-03-27,9.0,0.0,0.0,18.0
2019-03-28,126.0,47.0,16.0,86.0
2019-03-29,82.0,43.0,8.0,49.0
2019-04-01,22.0,0.0,22.0,22.0
2019-04-02,25.0,10.0,0.0,47.0
2019-04-03,56.0,9.0,18.0,17.0
2019-04-04,9.0,3.0,8.0,6.0
2019-04-05,45.0,24.0,3.0,10.0
2019-04-08,5.0,14.0,0.0,9.0
2019-04-09,7.0,4.0,0.0,0.0
2019-04-10,33.0,6.0,14.0,34.0
2019-04-11,46.0,5.0,3.0,9.0
2019-04-12,107.0,9.0,0.0,67.0
2019-04-15,0.0,0.0,0.0,3.0
2019-04-16,26.0,4.0,11.0,19.0
2019-04-22,25.0,0.0,0.0,18.0
2019-04-23,42.0,7.0,6.0,28.0
2019-04-24,15.0,0.0,7.0,17.0
2019-04-25,78.0,9.0,23.0,40.0
2019-04-26,11.0,33.0,25.0,49.0
2019-04-29,44.0,8.0,3.0,41.0
2019-04-30,106.0,19.0,5.0,163.0
2019-05-02,4.0,0.0,4.0,8.0
2019-05-03,15.0,3.0,9.0,17.0
2019-05-06,57.0,6.0,22.0,55.0
2019-05-07,28.0,41.0,6.0,51.0
2019-05-08,28.0,4.0,0.0,38.0
2019-05-09,0.0,3.0,6.0,6.0
2019-05-10,62.0,5.0,3.0,3.0
2019-05-13,75.0,26.0,5.0,122.0
2019-05-14,13.0,0.0,0.0,0.0
2019-05-15,45.0,38.0,0.0,37.0
2019-05-16,14.0,4.0,7.0,11.0
2019-05-17,32.0,6.0,6.0,38.0
2019-05-20,36.0,5.0,14.0,25.0
2019-05-21,26.0,5.0,4.0,27.0
2019-05-22,0.0,0.0,6.0,25.0
2019-05-23,63.0,8.0,23.0,74.0
2019-05-24,14.0,0.0,18.0,14.0
2019-05-27,26.0,32.0,69.0,99.0
2019-05-28,24.0,17.0,4.0,12.0
2019-05-29,9.0,7.0,0.0,29.0
2019-05-30,40.0,16.0,17.0,7.0
2019-05-31,42.0,9.0,49.0,53.0
2019-06-04,9.0,0.0,3.0,9.0
2019-06-05,37.0,0.0,3.0,13.0
2019-06-06,42.0,9.0,5.0,37.0
2019-06-07,70.0,0.0,0.0,20.0
2019-06-10,40.0,17.0,17.0,58.0
2019-06-11,8.0,6.0,5.0,12.0
2019-06-13,18.0,0.0,3.0,38.0
2019-06-14,29.0,4.0,12.0,39.0
2019-06-17,47.0,0.0,1.0,39.0
2019-06-18,26.0,55.0,0.0,127.0
2019-06-19,47.0,27.0,0.0,14.0
2019-06-20,32.0,9.0,0.0,17.0
2019-06-21,8.0,0.0,3.0,20.0
